RG1000 GB6*** BR0000   h0000  R255 G000 B000
RG0215 GB1000 BR0000   h0441  R070 G255 B000
RG0212 GB1000 BR0000   h0442  R069 G255 B000
RG0210 GB1000 BR0000   h0443  R068 G255 B000
RG0208 GB1000 BR0000   h0444  R067 G255 B000
RG0205 GB1000 BR0000   h0445  R066 G255 B000
RG0203 GB1000 BR0000   h0446  R065 G255 B000
RG0200 GB1000 BR0000   h0447  R064 G255 B000
RG0198 GB1000 BR0000   h0448  R063 G255 B000
RG0195 GB1000 BR0000   h0449  R062 G255 B000
RG0193 GB1000 BR0000   h0450  R061 G255 B000
RG0190 GB1000 BR0000   h0451  R060 G255 B000
RG0187 GB1000 BR0000   h0452  R059 G255 B000
RG0185 GB1000 BR0000   h0453  R058 G255 B000
RG0182 GB1000 BR0000   h0454  R057 G255 B000
RG0180 GB1000 BR0000   h0455  R056 G255 B000
RG0177 GB1000 BR0000   h0456  R055 G255 B000
RG0174 GB1000 BR0000   h0457  R054 G255 B000
RG0172 GB1000 BR0000   h0458  R053 G255 B000
RG0169 GB1000 BR0000   h0459  R052 G255 B000
RG0166 GB1000 BR0000   h0460  R051 G255 B000
RG0163 GB1000 BR0000   h0461  R050 G255 B000
RG0161 GB1000 BR0000   h0462  R049 G255 B000
RG0158 GB1000 BR0000   h0463  R048 G255 B000
RG0155 GB1000 BR0000   h0464  R047 G255 B000
RG0152 GB1000 BR0000   h0465  R046 G255 B000
RG0150 GB1000 BR0000   h0466  R045 G255 B000
RG0147 GB1000 BR0000   h0467  R044 G255 B000
RG0144 GB1000 BR0000   h0468  R043 G255 B000
RG0141 GB1000 BR0000   h0469  R042 G255 B000
RG0138 GB1000 BR0000   h0470  R041 G255 B000
RG0135 GB1000 BR0000   h0471  R040 G255 B000
RG0132 GB1000 BR0000   h0472  R039 G255 B000
RG0129 GB1000 BR0000   h0473  R038 G255 B000
RG0126 GB1000 BR0000   h0474  R037 G255 B000
RG0123 GB1000 BR0000   h0475  R036 G255 B000
RG0120 GB1000 BR0000   h0476  R035 G255 B000
RG0117 GB1000 BR0000   h0477  R034 G255 B000
RG0114 GB1000 BR0000   h0478  R033 G255 B000
RG0111 GB1000 BR0000   h0479  R032 G255 B000
RG0108 GB1000 BR0000   h0480  R031 G255 B000
RG0105 GB1000 BR0000   h0481  R030 G255 B000
RG0102 GB1000 BR0000   h0482  R029 G255 B000
RG0098 GB1000 BR0000   h0483  R028 G255 B000
RG0095 GB1000 BR0000   h0484  R027 G255 B000
RG0092 GB1000 BR0000   h0485  R026 G255 B000
RG0089 GB1000 BR0000   h0486  R025 G255 B000
RG0086 GB1000 BR0000   h0487  R024 G255 B000
RG0082 GB1000 BR0000   h0488  R023 G255 B000
RG0079 GB1000 BR0000   h0489  R022 G255 B000
RG0076 GB1000 BR0000   h0490  R021 G255 B000
RG0072 GB1000 BR0000   h0491  R020 G255 B000
RG0069 GB1000 BR0000   h0492  R019 G255 B000
RG0065 GB1000 BR0000   h0493  R018 G255 B000
